material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2276200(-4 & -100),A,45,ASSEMBLY,ASSEMBLY PREPARATION,ITF,987,9,9,1128.5,,1.1,99.1%,99.1%
2276200(-4 & -100),A,100,ASSEMBLY,ASSEMBLE GU - AOTD,ITF,580,4,4,347.5,,0.6,99.3%,99.3%
2276200(-4 & -100),A,105,ASSEMBLY,MISSILE ASSEMBLY,ITF,985,3,3,502.1,,0.5,99.7%,99.7%
2276200(-4 & -100),A,110,ASSEMBLY,HARNESS ASSEMBLY,ITF,576,11,11,642.8,,1.1,98.1%,98.1%
2276200(-4 & -100),A,120,ASSEMBLY,EXTERNAL COMPONENT ASSEMBLY,ITF,576,0,,588.9,,1.0,100.0%,100.0%
2276200(-4 & -100),A,130,ASSEMBLY,MISSILE MARKINGS,ITF,576,0,,331.1,,0.6,100.0%,100.0%
2276200(-4 & -100),A,140,INSPECTION,INSPECTION,ITF,576,3,2,,,0.0,99.5%,99.7%
2276200(-4 & -100),A,160,ASSEMBLY,ASSEMBLE FWD HARNESS COVER,ITF,576,0,,453.5,,0.8,100.0%,100.0%
2276200(-4 & -100),A,200,TEST,TEST - WEIGHT & CG,ITF,580,0,,291.9,1.4,0.5,100.0%,100.0%
2276200(-4 & -100),A,220,TEST,TEST - MISSILE PRE- ACCEPTANCE,ITF,580,8,6,391.1,1,0.7,98.6%,99.0%
2276200(-4 & -100),A,240,TEST,TEST - MISSILE FINAL ACCEPTANCE,ITF,580,2,,335.7,0.6,0.6,99.7%,100.0%
2276200(-4 & -100),A,260,TEST,PTE DATA VERIFICATION,ITF,580,1,,,n/a,0.0,99.8%,100.0%
2276200(-4 & -100),A,280,ASSEMBLY,ASSEMBLE BUFFER,ITF,588,0,,197.4,,0.3,100.0%,100.0%
2276200(-4 & -100),A,300,ASSEMBLY,MISSILE PACKAGE,ITF,576,0,,,,0.0,100.0%,100.0%
2276200(-4 & -100),A,570,INSPECTION,,ITF,994,1,1,,,0.0,99.9%,99.9%
2276200(-4 & -100),A,580,INSPECTION,FINAL INSPECTION,ITF,994,0,,,,0.0,100.0%,100.0%
,,,,,,,,,,,,,
2276202( -1 & -100),B,45,ASSEMBLY,ASSEMBLY PREPARATION,ITF,235,2,2,335.6,,1.4,99.1%,99.1%
2276202( -1 & -100),B,100,ASSEMBLY,ASSEMBLE GU TO MTA,ITF,236,1,1,207,,0.9,99.6%,99.6%
2276202( -1 & -100),B,110,ASSEMBLY,HARNESS ASSEMBLY,ITF,235,2,2,299.5,,1.3,99.1%,99.1%
2276202( -1 & -100),B,120,ASSEMBLY,ASSEMBLE EXTERNAL COMPONENTS,ITF,235,2,2,221.8,,0.9,99.1%,99.1%
2276202( -1 & -100),B,130,ASSEMBLY,MISSILE MARKINGS,ITF,235,0,,150.4,,0.6,100.0%,100.0%
2276202( -1 & -100),B,140,INSPECTION,INSPECTION,ITF,235,3,2,,,0.0,98.7%,99.1%
2276202( -1 & -100),B,160,ASSEMBLY,ASSEMBLE FWD HARNESS COVER,ITF,235,0,,195.3,,0.8,100.0%,100.0%
2276202( -1 & -100),B,200,TEST,TEST - WEIGHT AND CG,ITF,229,0,,98.8,1.1,0.4,100.0%,100.0%
2276202( -1 & -100),B,220,TEST,TEST - PRE ACCEPTANCE,ITF,229,0,,136.7,0.8,0.6,100.0%,100.0%
